0:00:29.372620324  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:29.655635282  6392 0000000008A692C0 WARN            audiodecoder gstaudiodecoder.c:1459:gst_audio_decoder_drain:<faad0> still 1 frames left after draining
0:00:31.874562522  6392 0000000008A69C80 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:31.874678582  6392 0000000008A69C80 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:31.875009911  6392 0000000008A69C80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:31.875071197  6392 0000000008A69C80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:31.894575905  6392 0000000008A69940 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:31.894680091  6392 0000000008A69940 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:31.894969669  6392 0000000008A69940 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:31.895033636  6392 0000000008A69940 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:31.897577778  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:31.899181944  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:33.375951228  6392 0000000008A69680 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:33.376117850  6392 0000000008A69680 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:33.376502804  6392 0000000008A69680 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:33.376600478  6392 0000000008A69680 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:33.379352994  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:34.367337456  6392 0000000008A699C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:34.367436280  6392 0000000008A699C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:34.367773737  6392 0000000008A699C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:34.367825064  6392 0000000008A699C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:34.383338893  6392 0000000008A69B40 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:34.383479852  6392 0000000008A69B40 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:34.383784367  6392 0000000008A69B40 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:34.383839142  6392 0000000008A69B40 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:34.385876524  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:34.387263124  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:35.870793039  6392 0000000008A69600 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:35.870935529  6392 0000000008A69600 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:35.871275284  6392 0000000008A69600 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:35.871333506  6392 0000000008A69600 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:35.873512996  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:36.870433749  6392 0000000008A69700 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:36.870586198  6392 0000000008A69700 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:36.871045844  6392 0000000008A69700 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:36.871125899  6392 0000000008A69700 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:36.892733489  6392 0000000008A69E00 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:36.892824653  6392 0000000008A69E00 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:36.893156364  6392 0000000008A69E00 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:36.893218799  6392 0000000008A69E00 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:36.894865099  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:36.896030303  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
